Date,T10Y2Y,Close,TenYield,CPIUS,m2,unemp_rate,Trade Balance,Shiller_PE,Inverted12months,SP Daily Return,Cumulative Returns,Trade Balance MoM,Trade Balance YoY,Trade Balance Rolling 12,Real_Yield,CPI YoY
2000-04-17,-0.32,1401.43994140625,5.99200010299683,171.2,4759.3,3.9,-30438,43.53,1,0.0330835944403551,-0.0461528389271726,0,0,0.00506473135383528,-0.32,
2000-04-18,-0.28,1441.60998535156,6.0460000038147,171.2,4759.3,3.9,-30438,43.53,1,0.02866340737014,-0.0188123291804907,0,0,0.00434119830328739,-0.28,
2000-04-19,-0.34,1427.46997070313,5.97499990463257,171.2,4759.3,3.9,-30438,43.53,1,-0.00980848828193237,-0.0284362969521004,0,0,0.00361766525273949,-0.34,
2000-04-20,-0.39,1434.5400390625,5.98799991607666,171.2,4759.3,3.9,-30438,43.53,1,0.00495286661329386,-0.0236242715245862,0,0,0.00289413220219159,-0.39,
2000-04-21,-0.39,1434.5400390625,5.98799991607666,171.2,4759.3,3.9,-30438,43.53,1,0,-0.0236242715245862,0,0,0.00217059915164369,-0.39,
2000-04-22,-0.39,1434.5400390625,5.98799991607666,171.2,4759.3,3.9,-30438,43.53,1,0,-0.0236242715245862,0,0,0.0014470661010958,-0.39,
2000-04-23,-0.39,1434.5400390625,5.98799991607666,171.2,4759.3,3.9,-30438,43.53,1,0,-0.0236242715245862,0,0,0.000723533050547898,-0.39,
2000-04-24,-0.36,1429.85998535156,5.98699998855591,171.2,4759.3,3.9,-30438,43.53,1,-0.00326240717128812,-0.0268096067030361,0,0,0,-0.36,
2000-04-25,-0.34,1477.43994140625,6.11700010299683,171.2,4759.3,3.9,-30438,43.53,1,0.033275954668379,0.00557423270801549,0,0,0,-0.34,
2000-04-26,-0.36,1460.98999023438,6.13000011444092,171.2,4759.3,3.9,-30438,43.53,1,-0.0111340912823961,-0.00562192259018091,0,0,0,-0.36,
2000-04-27,-0.4,1464.92004394531,6.2350001335144,171.2,4759.3,3.9,-30438,43.53,1,0.00268999359147348,-0.00294705193444678,0,0,0,-0.4,
